Council area,Year,Sex,Age,Population
East Ayrshire,2019,Female,9,658
East Ayrshire,2019,Female,10,696
East Ayrshire,2019,Female,11,653
East Ayrshire,2019,Female,12,639
East Ayrshire,2019,Female,13,643
East Ayrshire,2019,Female,14,635
East Ayrshire,2019,Female,15,652
East Ayrshire,2019,Female,16,625
East Ayrshire,2019,Female,17,663
East Ayrshire,2019,Female,18,622
East Ayrshire,2019,Female,19,632
East Ayrshire,2019,Female,20,629
East Ayrshire,2019,Female,21,652
East Ayrshire,2019,Female,22,601
East Ayrshire,2019,Female,23,673
East Ayrshire,2019,Female,24,682
East Ayrshire,2019,Female,25,729
East Ayrshire,2019,Female,26,717
East Ayrshire,2019,Female,27,728
East Ayrshire,2019,Female,28,776
East Ayrshire,2019,Female,29,733
East Ayrshire,2019,Female,30,738
East Ayrshire,2019,Female,31,756
East Ayrshire,2019,Female,32,787
East Ayrshire,2019,Female,33,781
East Ayrshire,2019,Female,34,751
East Ayrshire,2019,Female,35,738
East Ayrshire,2019,Female,36,698
East Ayrshire,2019,Female,37,719
East Ayrshire,2019,Female,38,766
East Ayrshire,2019,Female,39,805
East Ayrshire,2019,Female,40,713
East Ayrshire,2019,Female,41,672
East Ayrshire,2019,Female,42,632
East Ayrshire,2019,Female,43,730
East Ayrshire,2019,Female,44,763
East Ayrshire,2019,Female,45,776
East Ayrshire,2019,Female,46,807
East Ayrshire,2019,Female,47,920
East Ayrshire,2019,Female,48,999
East Ayrshire,2019,Female,49,929
East Ayrshire,2019,Female,50,986
East Ayrshire,2019,Female,51,1032
East Ayrshire,2019,Female,52,1063
East Ayrshire,2019,Female,53,1013
East Ayrshire,2019,Female,54,1059
East Ayrshire,2019,Female,55,989
East Ayrshire,2019,Female,56,1001
East Ayrshire,2019,Female,57,936
East Ayrshire,2019,Female,58,949
East Ayrshire,2019,Female,59,909
East Ayrshire,2019,Female,60,865
East Ayrshire,2019,Female,61,870
East Ayrshire,2019,Female,62,861
East Ayrshire,2019,Female,63,804
East Ayrshire,2019,Female,64,784
East Ayrshire,2019,Female,65,759
East Ayrshire,2019,Female,66,792
East Ayrshire,2019,Female,67,755
East Ayrshire,2019,Female,68,708
East Ayrshire,2019,Female,69,734
East Ayrshire,2019,Female,70,735
East Ayrshire,2019,Female,71,817
East Ayrshire,2019,Female,72,872
East Ayrshire,2019,Female,73,593
East Ayrshire,2019,Female,74,613
East Ayrshire,2019,Female,75,577
East Ayrshire,2019,Female,76,554
East Ayrshire,2019,Female,77,511
East Ayrshire,2019,Female,78,458
East Ayrshire,2019,Female,79,467
East Ayrshire,2019,Female,80,396
East Ayrshire,2019,Female,81,394
East Ayrshire,2019,Female,82,407
East Ayrshire,2019,Female,83,328
East Ayrshire,2019,Female,84,303
East Ayrshire,2019,Female,85,292
East Ayrshire,2019,Female,86,251
East Ayrshire,2019,Female,87,229
East Ayrshire,2019,Female,88,163
East Ayrshire,2019,Female,89,160
East Ayrshire,2019,Female,90,647
East Ayrshire,2019,Male,0,573
East Ayrshire,2019,Male,1,616
East Ayrshire,2019,Male,2,633
East Ayrshire,2019,Male,3,692
East Ayrshire,2019,Male,4,730
East Ayrshire,2019,Male,5,640
East Ayrshire,2019,Male,6,690
East Ayrshire,2019,Male,7,760
East Ayrshire,2019,Male,8,735
East Ayrshire,2019,Male,9,689
East Ayrshire,2019,Male,10,680
East Ayrshire,2019,Male,11,710
East Ayrshire,2019,Male,12,695
East Ayrshire,2019,Male,13,630
East Ayrshire,2019,Male,14,653
East Ayrshire,2019,Male,15,684
East Ayrshire,2019,Male,16,604
East Ayrshire,2019,Male,17,614
East Ayrshire,2019,Male,18,635
East Ayrshire,2019,Male,19,639
East Ayrshire,2019,Male,20,611
East Ayrshire,2019,Male,21,723
East Ayrshire,2019,Male,22,720
East Ayrshire,2019,Male,23,702
East Ayrshire,2019,Male,24,752
East Ayrshire,2019,Male,25,767
East Ayrshire,2019,Male,26,714
East Ayrshire,2019,Male,27,679
East Ayrshire,2019,Male,28,701
East Ayrshire,2019,Male,29,726
East Ayrshire,2019,Male,30,726
East Ayrshire,2019,Male,31,695
East Ayrshire,2019,Male,32,715
East Ayrshire,2019,Male,33,750
East Ayrshire,2019,Male,34,683
East Ayrshire,2019,Male,35,643
East Ayrshire,2019,Male,36,708
East Ayrshire,2019,Male,37,706
East Ayrshire,2019,Male,38,688
East Ayrshire,2019,Male,39,693
East Ayrshire,2019,Male,40,682
East Ayrshire,2019,Male,41,620
East Ayrshire,2019,Male,42,595
East Ayrshire,2019,Male,43,658
East Ayrshire,2019,Male,44,708
East Ayrshire,2019,Male,45,700
East Ayrshire,2019,Male,46,813
East Ayrshire,2019,Male,47,822
East Ayrshire,2019,Male,48,837
East Ayrshire,2019,Male,49,861
East Ayrshire,2019,Male,50,916
East Ayrshire,2019,Male,51,889
East Ayrshire,2019,Male,52,886
East Ayrshire,2019,Male,53,929
East Ayrshire,2019,Male,54,994
East Ayrshire,2019,Male,55,925
East Ayrshire,2019,Male,56,892
East Ayrshire,2019,Male,57,864
East Ayrshire,2019,Male,58,889
East Ayrshire,2019,Male,59,847
East Ayrshire,2019,Male,60,909
East Ayrshire,2019,Male,61,822
East Ayrshire,2019,Male,62,801
East Ayrshire,2019,Male,63,757
East Ayrshire,2019,Male,64,732
East Ayrshire,2019,Male,65,752
East Ayrshire,2019,Male,66,761
East Ayrshire,2019,Male,67,685
East Ayrshire,2019,Male,68,697
East Ayrshire,2019,Male,69,715
East Ayrshire,2019,Male,70,705
East Ayrshire,2019,Male,71,685
East Ayrshire,2019,Male,72,769
East Ayrshire,2019,Male,73,564
East Ayrshire,2019,Male,74,552
East Ayrshire,2019,Male,75,531
East Ayrshire,2019,Male,76,481
East Ayrshire,2019,Male,77,369
East Ayrshire,2019,Male,78,382
East Ayrshire,2019,Male,79,359
East Ayrshire,2019,Male,80,376
East Ayrshire,2019,Male,81,340
East Ayrshire,2019,Male,82,290
East Ayrshire,2019,Male,83,236
East Ayrshire,2019,Male,84,228
East Ayrshire,2019,Male,85,196
East Ayrshire,2019,Male,86,166
East Ayrshire,2019,Male,87,130
East Ayrshire,2019,Male,88,112
East Ayrshire,2019,Male,89,82
East Ayrshire,2019,Male,90,274
East Dunbartonshire,2019,Female,0,488
East Dunbartonshire,2019,Female,1,484
East Dunbartonshire,2019,Female,2,539
East Dunbartonshire,2019,Female,3,546
East Dunbartonshire,2019,Female,4,611
East Dunbartonshire,2019,Female,5,634
East Dunbartonshire,2019,Female,6,622
East Dunbartonshire,2019,Female,7,579
East Dunbartonshire,2019,Female,8,659
East Dunbartonshire,2019,Female,9,634
East Dunbartonshire,2019,Female,10,601
East Dunbartonshire,2019,Female,11,627
East Dunbartonshire,2019,Female,12,608
East Dunbartonshire,2019,Female,13,602
East Dunbartonshire,2019,Female,14,596
East Dunbartonshire,2019,Female,15,562
East Dunbartonshire,2019,Female,16,573
East Dunbartonshire,2019,Female,17,578
East Dunbartonshire,2019,Female,18,528
East Dunbartonshire,2019,Female,19,486
East Dunbartonshire,2019,Female,20,525
East Dunbartonshire,2019,Female,21,510
East Dunbartonshire,2019,Female,22,514
East Dunbartonshire,2019,Female,23,542
East Dunbartonshire,2019,Female,24,484
East Dunbartonshire,2019,Female,25,547
East Dunbartonshire,2019,Female,26,506
East Dunbartonshire,2019,Female,27,583
East Dunbartonshire,2019,Female,28,500
East Dunbartonshire,2019,Female,29,448
East Dunbartonshire,2019,Female,30,496
East Dunbartonshire,2019,Female,31,560
East Dunbartonshire,2019,Female,32,485
East Dunbartonshire,2019,Female,33,542
East Dunbartonshire,2019,Female,34,514
East Dunbartonshire,2019,Female,35,603
East Dunbartonshire,2019,Female,36,587
East Dunbartonshire,2019,Female,37,579
East Dunbartonshire,2019,Female,38,683
East Dunbartonshire,2019,Female,39,702
East Dunbartonshire,2019,Female,40,669
East Dunbartonshire,2019,Female,41,646
East Dunbartonshire,2019,Female,42,633
East Dunbartonshire,2019,Female,43,649
East Dunbartonshire,2019,Female,44,656
East Dunbartonshire,2019,Female,45,674
East Dunbartonshire,2019,Female,46,745
East Dunbartonshire,2019,Female,47,804
East Dunbartonshire,2019,Female,48,877
East Dunbartonshire,2019,Female,49,832
East Dunbartonshire,2019,Female,50,827
East Dunbartonshire,2019,Female,51,829
East Dunbartonshire,2019,Female,52,909
East Dunbartonshire,2019,Female,53,873
East Dunbartonshire,2019,Female,54,868
East Dunbartonshire,2019,Female,55,927
East Dunbartonshire,2019,Female,56,908
East Dunbartonshire,2019,Female,57,916
East Dunbartonshire,2019,Female,58,885
East Dunbartonshire,2019,Female,59,813
East Dunbartonshire,2019,Female,60,861
East Dunbartonshire,2019,Female,61,825
East Dunbartonshire,2019,Female,62,848
East Dunbartonshire,2019,Female,63,748
East Dunbartonshire,2019,Female,64,727
East Dunbartonshire,2019,Female,65,712
East Dunbartonshire,2019,Female,66,707
East Dunbartonshire,2019,Female,67,666
East Dunbartonshire,2019,Female,68,638
East Dunbartonshire,2019,Female,69,707
East Dunbartonshire,2019,Female,70,722
East Dunbartonshire,2019,Female,71,694
East Dunbartonshire,2019,Female,72,755
East Dunbartonshire,2019,Female,73,595
East Dunbartonshire,2019,Female,74,566
East Dunbartonshire,2019,Female,75,595
East Dunbartonshire,2019,Female,76,577
East Dunbartonshire,2019,Female,77,467
East Dunbartonshire,2019,Female,78,487
East Dunbartonshire,2019,Female,79,488
East Dunbartonshire,2019,Female,80,522
East Dunbartonshire,2019,Female,81,444
East Dunbartonshire,2019,Female,82,468
East Dunbartonshire,2019,Female,83,368
East Dunbartonshire,2019,Female,84,368
East Dunbartonshire,2019,Female,85,351
East Dunbartonshire,2019,Female,86,302
East Dunbartonshire,2019,Female,87,274
East Dunbartonshire,2019,Female,88,218
East Dunbartonshire,2019,Female,89,208
East Dunbartonshire,2019,Female,90,754
East Dunbartonshire,2019,Male,0,458
East Dunbartonshire,2019,Male,1,542
East Dunbartonshire,2019,Male,2,637
East Dunbartonshire,2019,Male,3,593
East Dunbartonshire,2019,Male,4,613
East Dunbartonshire,2019,Male,5,640
East Dunbartonshire,2019,Male,6,621
East Dunbartonshire,2019,Male,7,618
East Dunbartonshire,2019,Male,8,709
East Dunbartonshire,2019,Male,9,647
East Dunbartonshire,2019,Male,10,691
East Dunbartonshire,2019,Male,11,647
East Dunbartonshire,2019,Male,12,602
East Dunbartonshire,2019,Male,13,651
East Dunbartonshire,2019,Male,14,666
East Dunbartonshire,2019,Male,15,671
East Dunbartonshire,2019,Male,16,585
East Dunbartonshire,2019,Male,17,584
East Dunbartonshire,2019,Male,18,620
East Dunbartonshire,2019,Male,19,622
East Dunbartonshire,2019,Male,20,589
East Dunbartonshire,2019,Male,21,642
East Dunbartonshire,2019,Male,22,572
East Dunbartonshire,2019,Male,23,673
East Dunbartonshire,2019,Male,24,636
East Dunbartonshire,2019,Male,25,636
East Dunbartonshire,2019,Male,26,616
East Dunbartonshire,2019,Male,27,591
East Dunbartonshire,2019,Male,28,600
East Dunbartonshire,2019,Male,29,600
East Dunbartonshire,2019,Male,30,551
East Dunbartonshire,2019,Male,31,516
East Dunbartonshire,2019,Male,32,496
East Dunbartonshire,2019,Male,33,548
East Dunbartonshire,2019,Male,34,566
East Dunbartonshire,2019,Male,35,472
East Dunbartonshire,2019,Male,36,528
East Dunbartonshire,2019,Male,37,584
East Dunbartonshire,2019,Male,38,542
East Dunbartonshire,2019,Male,39,549
East Dunbartonshire,2019,Male,40,625
East Dunbartonshire,2019,Male,41,522
East Dunbartonshire,2019,Male,42,571
East Dunbartonshire,2019,Male,43,600
East Dunbartonshire,2019,Male,44,574
East Dunbartonshire,2019,Male,45,567
East Dunbartonshire,2019,Male,46,652
East Dunbartonshire,2019,Male,47,713
East Dunbartonshire,2019,Male,48,735
East Dunbartonshire,2019,Male,49,734
East Dunbartonshire,2019,Male,50,730
East Dunbartonshire,2019,Male,51,742
East Dunbartonshire,2019,Male,52,775
East Dunbartonshire,2019,Male,53,750
East Dunbartonshire,2019,Male,54,886
East Dunbartonshire,2019,Male,55,810
East Dunbartonshire,2019,Male,56,817
East Dunbartonshire,2019,Male,57,844
East Dunbartonshire,2019,Male,58,797
East Dunbartonshire,2019,Male,59,747
East Dunbartonshire,2019,Male,60,801
East Dunbartonshire,2019,Male,61,728
East Dunbartonshire,2019,Male,62,716
East Dunbartonshire,2019,Male,63,691
East Dunbartonshire,2019,Male,64,697
East Dunbartonshire,2019,Male,65,632
East Dunbartonshire,2019,Male,66,662
East Dunbartonshire,2019,Male,67,555
East Dunbartonshire,2019,Male,68,639
East Dunbartonshire,2019,Male,69,610
East Dunbartonshire,2019,Male,70,594
East Dunbartonshire,2019,Male,71,640
East Dunbartonshire,2019,Male,72,693
East Dunbartonshire,2019,Male,73,464
East Dunbartonshire,2019,Male,74,499
East Dunbartonshire,2019,Male,75,486
East Dunbartonshire,2019,Male,76,434
East Dunbartonshire,2019,Male,77,371
East Dunbartonshire,2019,Male,78,338
East Dunbartonshire,2019,Male,79,383
East Dunbartonshire,2019,Male,80,322
East Dunbartonshire,2019,Male,81,350
East Dunbartonshire,2019,Male,82,349
East Dunbartonshire,2019,Male,83,285
East Dunbartonshire,2019,Male,84,271
East Dunbartonshire,2019,Male,85,238
East Dunbartonshire,2019,Male,86,192
East Dunbartonshire,2019,Male,87,182
East Dunbartonshire,2019,Male,88,148
East Dunbartonshire,2019,Male,89,129
East Dunbartonshire,2019,Male,90,357
East Lothian,2019,Female,0,504
East Lothian,2019,Female,1,493
East Lothian,2019,Female,2,523
East Lothian,2019,Female,3,585
East Lothian,2019,Female,4,613
East Lothian,2019,Female,5,608
East Lothian,2019,Female,6,597
East Lothian,2019,Female,7,663
East Lothian,2019,Female,8,665
East Lothian,2019,Female,9,617
East Lothian,2019,Female,10,656
East Lothian,2019,Female,11,679
East Lothian,2019,Female,12,625
East Lothian,2019,Female,13,582
East Lothian,2019,Female,14,535
East Lothian,2019,Female,15,595
East Lothian,2019,Female,16,520
East Lothian,2019,Female,17,511
East Lothian,2019,Female,18,567
East Lothian,2019,Female,19,523
East Lothian,2019,Female,20,466
East Lothian,2019,Female,21,548
East Lothian,2019,Female,22,534
East Lothian,2019,Female,23,524
East Lothian,2019,Female,24,535
East Lothian,2019,Female,25,599
East Lothian,2019,Female,26,683
East Lothian,2019,Female,27,744
East Lothian,2019,Female,28,573
East Lothian,2019,Female,29,597
East Lothian,2019,Female,30,610
East Lothian,2019,Female,31,572
East Lothian,2019,Female,32,606
East Lothian,2019,Female,33,674
East Lothian,2019,Female,34,633
East Lothian,2019,Female,35,624
East Lothian,2019,Female,36,688
East Lothian,2019,Female,37,712
East Lothian,2019,Female,38,731
East Lothian,2019,Female,39,657
East Lothian,2019,Female,40,697
East Lothian,2019,Female,41,640
East Lothian,2019,Female,42,684
East Lothian,2019,Female,43,685
East Lothian,2019,Female,44,677
East Lothian,2019,Female,45,678
East Lothian,2019,Female,46,732
East Lothian,2019,Female,47,790
East Lothian,2019,Female,48,877
East Lothian,2019,Female,49,823
East Lothian,2019,Female,50,868
East Lothian,2019,Female,51,954
East Lothian,2019,Female,52,926
East Lothian,2019,Female,53,795
East Lothian,2019,Female,54,892
East Lothian,2019,Female,55,875
East Lothian,2019,Female,56,890
East Lothian,2019,Female,57,834
East Lothian,2019,Female,58,819
East Lothian,2019,Female,59,846
East Lothian,2019,Female,60,811
East Lothian,2019,Female,61,745
East Lothian,2019,Female,62,749
East Lothian,2019,Female,63,691
East Lothian,2019,Female,64,707
East Lothian,2019,Female,65,642
East Lothian,2019,Female,66,638
East Lothian,2019,Female,67,642
East Lothian,2019,Female,68,636
East Lothian,2019,Female,69,626
East Lothian,2019,Female,70,623
East Lothian,2019,Female,71,707
East Lothian,2019,Female,72,702
East Lothian,2019,Female,73,540
East Lothian,2019,Female,74,486
East Lothian,2019,Female,75,578
East Lothian,2019,Female,76,467
East Lothian,2019,Female,77,476
East Lothian,2019,Female,78,424
East Lothian,2019,Female,79,401
East Lothian,2019,Female,80,387
East Lothian,2019,Female,81,398
East Lothian,2019,Female,82,327
East Lothian,2019,Female,83,322
East Lothian,2019,Female,84,266
East Lothian,2019,Female,85,291
East Lothian,2019,Female,86,259
East Lothian,2019,Female,87,201
East Lothian,2019,Female,88,186
East Lothian,2019,Female,89,181
East Lothian,2019,Female,90,595
East Lothian,2019,Male,0,533
East Lothian,2019,Male,1,577
East Lothian,2019,Male,2,588
East Lothian,2019,Male,3,648
East Lothian,2019,Male,4,593
East Lothian,2019,Male,5,631
East Lothian,2019,Male,6,609
East Lothian,2019,Male,7,668
East Lothian,2019,Male,8,705
East Lothian,2019,Male,9,644
East Lothian,2019,Male,10,673
East Lothian,2019,Male,11,705
East Lothian,2019,Male,12,656
East Lothian,2019,Male,13,699
East Lothian,2019,Male,14,636
East Lothian,2019,Male,15,595
East Lothian,2019,Male,16,514
East Lothian,2019,Male,17,583
East Lothian,2019,Male,18,524
East Lothian,2019,Male,19,519
East Lothian,2019,Male,20,513
East Lothian,2019,Male,21,514
East Lothian,2019,Male,22,590
East Lothian,2019,Male,23,621
East Lothian,2019,Male,24,623
East Lothian,2019,Male,25,607
East Lothian,2019,Male,26,574
East Lothian,2019,Male,27,611
East Lothian,2019,Male,28,558
East Lothian,2019,Male,29,487
East Lothian,2019,Male,30,463
East Lothian,2019,Male,31,584
East Lothian,2019,Male,32,552
East Lothian,2019,Male,33,553
East Lothian,2019,Male,34,549
East Lothian,2019,Male,35,536
East Lothian,2019,Male,36,580
East Lothian,2019,Male,37,593
East Lothian,2019,Male,38,597
East Lothian,2019,Male,39,574
East Lothian,2019,Male,40,648
East Lothian,2019,Male,41,570
East Lothian,2019,Male,42,584
East Lothian,2019,Male,43,649
East Lothian,2019,Male,44,642
East Lothian,2019,Male,45,685
East Lothian,2019,Male,46,777
East Lothian,2019,Male,47,733
East Lothian,2019,Male,48,750
East Lothian,2019,Male,49,755
East Lothian,2019,Male,50,715
East Lothian,2019,Male,51,746
East Lothian,2019,Male,52,787
East Lothian,2019,Male,53,784
East Lothian,2019,Male,54,882
East Lothian,2019,Male,55,765
East Lothian,2019,Male,56,849
East Lothian,2019,Male,57,811
East Lothian,2019,Male,58,809
East Lothian,2019,Male,59,715
East Lothian,2019,Male,60,753
East Lothian,2019,Male,61,709
East Lothian,2019,Male,62,740
East Lothian,2019,Male,63,666
East Lothian,2019,Male,64,600
East Lothian,2019,Male,65,624
East Lothian,2019,Male,66,544
East Lothian,2019,Male,67,557
East Lothian,2019,Male,68,556
East Lothian,2019,Male,69,567
East Lothian,2019,Male,70,541
East Lothian,2019,Male,71,623
East Lothian,2019,Male,72,652
East Lothian,2019,Male,73,500
East Lothian,2019,Male,74,456
East Lothian,2019,Male,75,471
East Lothian,2019,Male,76,406
East Lothian,2019,Male,77,365
East Lothian,2019,Male,78,339
East Lothian,2019,Male,79,312
East Lothian,2019,Male,80,265
East Lothian,2019,Male,81,307
East Lothian,2019,Male,82,231
East Lothian,2019,Male,83,232
East Lothian,2019,Male,84,204
East Lothian,2019,Male,85,192
East Lothian,2019,Male,86,143
East Lothian,2019,Male,87,151
East Lothian,2019,Male,88,110
East Lothian,2019,Male,89,88
East Lothian,2019,Male,90,294
East Renfrewshire,2019,Female,0,417
East Renfrewshire,2019,Female,1,450
East Renfrewshire,2019,Female,2,493
East Renfrewshire,2019,Female,3,554
East Renfrewshire,2019,Female,4,533
East Renfrewshire,2019,Female,5,572
East Renfrewshire,2019,Female,6,649
East Renfrewshire,2019,Female,7,642
East Renfrewshire,2019,Female,8,664
East Renfrewshire,2019,Female,9,659
East Renfrewshire,2019,Female,10,641
East Renfrewshire,2019,Female,11,642
East Renfrewshire,2019,Female,12,663
East Renfrewshire,2019,Female,13,639
East Renfrewshire,2019,Female,14,639
East Renfrewshire,2019,Female,15,630
East Renfrewshire,2019,Female,16,602
East Renfrewshire,2019,Female,17,568
East Renfrewshire,2019,Female,18,522
East Renfrewshire,2019,Female,19,483
East Renfrewshire,2019,Female,20,468
East Renfrewshire,2019,Female,21,486
East Renfrewshire,2019,Female,22,509
East Renfrewshire,2019,Female,23,472
East Renfrewshire,2019,Female,24,445
East Renfrewshire,2019,Female,25,411
East Renfrewshire,2019,Female,26,495
East Renfrewshire,2019,Female,27,415
East Renfrewshire,2019,Female,28,419
East Renfrewshire,2019,Female,29,417
East Renfrewshire,2019,Female,30,508
East Renfrewshire,2019,Female,31,517
East Renfrewshire,2019,Female,32,450
East Renfrewshire,2019,Female,33,467
East Renfrewshire,2019,Female,34,441
East Renfrewshire,2019,Female,35,537
East Renfrewshire,2019,Female,36,510
East Renfrewshire,2019,Female,37,575
East Renfrewshire,2019,Female,38,618
East Renfrewshire,2019,Female,39,646
East Renfrewshire,2019,Female,40,668
East Renfrewshire,2019,Female,41,652
East Renfrewshire,2019,Female,42,622
East Renfrewshire,2019,Female,43,665
East Renfrewshire,2019,Female,44,633
East Renfrewshire,2019,Female,45,646
East Renfrewshire,2019,Female,46,701
East Renfrewshire,2019,Female,47,684
East Renfrewshire,2019,Female,48,742
East Renfrewshire,2019,Female,49,708
East Renfrewshire,2019,Female,50,783
East Renfrewshire,2019,Female,51,781
East Renfrewshire,2019,Female,52,780
East Renfrewshire,2019,Female,53,728
East Renfrewshire,2019,Female,54,751
East Renfrewshire,2019,Female,55,821
East Renfrewshire,2019,Female,56,722
East Renfrewshire,2019,Female,57,738
East Renfrewshire,2019,Female,58,682
East Renfrewshire,2019,Female,59,693
East Renfrewshire,2019,Female,60,659
East Renfrewshire,2019,Female,61,653
East Renfrewshire,2019,Female,62,637
East Renfrewshire,2019,Female,63,642
East Renfrewshire,2019,Female,64,594
East Renfrewshire,2019,Female,65,579
East Renfrewshire,2019,Female,66,561
East Renfrewshire,2019,Female,67,536
East Renfrewshire,2019,Female,68,536
East Renfrewshire,2019,Female,69,513
East Renfrewshire,2019,Female,70,561
East Renfrewshire,2019,Female,71,579
East Renfrewshire,2019,Female,72,613
East Renfrewshire,2019,Female,73,435
East Renfrewshire,2019,Female,74,464
East Renfrewshire,2019,Female,75,475
East Renfrewshire,2019,Female,76,460
East Renfrewshire,2019,Female,77,388
East Renfrewshire,2019,Female,78,404
East Renfrewshire,2019,Female,79,361
East Renfrewshire,2019,Female,80,336
East Renfrewshire,2019,Female,81,345
East Renfrewshire,2019,Female,82,325
East Renfrewshire,2019,Female,83,344
East Renfrewshire,2019,Female,84,297
East Renfrewshire,2019,Female,85,295
East Renfrewshire,2019,Female,86,236
East Renfrewshire,2019,Female,87,235
East Renfrewshire,2019,Female,88,203
East Renfrewshire,2019,Female,89,175
East Renfrewshire,2019,Female,90,713
East Renfrewshire,2019,Male,0,468
East Renfrewshire,2019,Male,1,464
East Renfrewshire,2019,Male,2,545
East Renfrewshire,2019,Male,3,571
East Renfrewshire,2019,Male,4,608
East Renfrewshire,2019,Male,5,635
East Renfrewshire,2019,Male,6,636
East Renfrewshire,2019,Male,7,705
East Renfrewshire,2019,Male,8,736
East Renfrewshire,2019,Male,9,674
East Renfrewshire,2019,Male,10,638
East Renfrewshire,2019,Male,11,715
East Renfrewshire,2019,Male,12,701
East Renfrewshire,2019,Male,13,643
East Renfrewshire,2019,Male,14,669
East Renfrewshire,2019,Male,15,630
East Renfrewshire,2019,Male,16,564
East Renfrewshire,2019,Male,17,569
East Renfrewshire,2019,Male,18,578
East Renfrewshire,2019,Male,19,563
East Renfrewshire,2019,Male,20,556
East Renfrewshire,2019,Male,21,554
East Renfrewshire,2019,Male,22,557
East Renfrewshire,2019,Male,23,539
East Renfrewshire,2019,Male,24,527
East Renfrewshire,2019,Male,25,554
East Renfrewshire,2019,Male,26,483
East Renfrewshire,2019,Male,27,473
East Renfrewshire,2019,Male,28,427
East Renfrewshire,2019,Male,29,452
East Renfrewshire,2019,Male,30,409
East Renfrewshire,2019,Male,31,404
East Renfrewshire,2019,Male,32,387
East Renfrewshire,2019,Male,33,414
East Renfrewshire,2019,Male,34,410
East Renfrewshire,2019,Male,35,428
East Renfrewshire,2019,Male,36,417
East Renfrewshire,2019,Male,37,504
East Renfrewshire,2019,Male,38,499
East Renfrewshire,2019,Male,39,553
East Renfrewshire,2019,Male,40,515
East Renfrewshire,2019,Male,41,566
East Renfrewshire,2019,Male,42,552
East Renfrewshire,2019,Male,43,562
East Renfrewshire,2019,Male,44,556
East Renfrewshire,2019,Male,45,593
East Renfrewshire,2019,Male,46,661
East Renfrewshire,2019,Male,47,662
East Renfrewshire,2019,Male,48,648
East Renfrewshire,2019,Male,49,627
East Renfrewshire,2019,Male,50,661
East Renfrewshire,2019,Male,51,622
East Renfrewshire,2019,Male,52,702
East Renfrewshire,2019,Male,53,723
East Renfrewshire,2019,Male,54,626
East Renfrewshire,2019,Male,55,709
East Renfrewshire,2019,Male,56,672
East Renfrewshire,2019,Male,57,676
East Renfrewshire,2019,Male,58,641
East Renfrewshire,2019,Male,59,620
East Renfrewshire,2019,Male,60,662
East Renfrewshire,2019,Male,61,619
East Renfrewshire,2019,Male,62,598
East Renfrewshire,2019,Male,63,620
East Renfrewshire,2019,Male,64,539
East Renfrewshire,2019,Male,65,491
East Renfrewshire,2019,Male,66,508
East Renfrewshire,2019,Male,67,496
East Renfrewshire,2019,Male,68,445
East Renfrewshire,2019,Male,69,469
East Renfrewshire,2019,Male,70,457
East Renfrewshire,2019,Male,71,479
East Renfrewshire,2019,Male,72,498
East Renfrewshire,2019,Male,73,401
East Renfrewshire,2019,Male,74,352
East Renfrewshire,2019,Male,75,361
East Renfrewshire,2019,Male,76,314
East Renfrewshire,2019,Male,77,292
East Renfrewshire,2019,Male,78,278
East Renfrewshire,2019,Male,79,247
East Renfrewshire,2019,Male,80,295
East Renfrewshire,2019,Male,81,250
East Renfrewshire,2019,Male,82,243
East Renfrewshire,2019,Male,83,222
East Renfrewshire,2019,Male,84,182
East Renfrewshire,2019,Male,85,165
East Renfrewshire,2019,Male,86,157
East Renfrewshire,2019,Male,87,133
East Renfrewshire,2019,Male,88,101
East Renfrewshire,2019,Male,89,83
East Renfrewshire,2019,Male,90,298
Falkirk,2019,Female,0,706
Falkirk,2019,Female,1,746
Falkirk,2019,Female,2,794
Falkirk,2019,Female,3,721
Falkirk,2019,Female,4,818
Falkirk,2019,Female,5,860
Falkirk,2019,Female,6,825
Falkirk,2019,Female,7,915
Falkirk,2019,Female,8,899
Falkirk,2019,Female,9,941
Falkirk,2019,Female,10,1012
Falkirk,2019,Female,11,959
Falkirk,2019,Female,12,896
Falkirk,2019,Female,13,885
Falkirk,2019,Female,14,840
Falkirk,2019,Female,15,823
Falkirk,2019,Female,16,819
Falkirk,2019,Female,17,762
Falkirk,2019,Female,18,794
Falkirk,2019,Female,19,765
Falkirk,2019,Female,20,801
Falkirk,2019,Female,21,787
Falkirk,2019,Female,22,834
Falkirk,2019,Female,23,837
Falkirk,2019,Female,24,902
Falkirk,2019,Female,25,965
Falkirk,2019,Female,26,962
Falkirk,2019,Female,27,1011
Falkirk,2019,Female,28,1024
Falkirk,2019,Female,29,924
Falkirk,2019,Female,30,925
Falkirk,2019,Female,31,1063
Falkirk,2019,Female,32,1014
Falkirk,2019,Female,33,1038
Falkirk,2019,Female,34,1078
Falkirk,2019,Female,35,1050
Falkirk,2019,Female,36,1107
Falkirk,2019,Female,37,1122
Falkirk,2019,Female,38,1066
Falkirk,2019,Female,39,1052
Falkirk,2019,Female,40,1092
Falkirk,2019,Female,41,985
Falkirk,2019,Female,42,994
Falkirk,2019,Female,43,1075
Falkirk,2019,Female,44,1107
Falkirk,2019,Female,45,1155
Falkirk,2019,Female,46,1210
Falkirk,2019,Female,47,1309
Falkirk,2019,Female,48,1234
Falkirk,2019,Female,49,1203
Falkirk,2019,Female,50,1303
Falkirk,2019,Female,51,1374
